Nh,Overall dB,Test dB,Train dB,Overall MSE mean,Test MSE mean,Train MSE mean,Overall MSE sem,Test MSE sem,Train MSE sem,Avg. R Squared (test) mean,Avg. R Squared (training) mean,Avg. R Squared (test) sem,Avg. R Squared (training) sem,Avg. Train Time mean,Avg. Train Time sem,Avg. no of iterations,No. of useless models (test),No. of useless models (training)
3,-1.476,-1.384,-1.522,0.033441925611755505,0.04135179717111236,0.030051980657745427,0.0026313656764250844,0.0025669119560426364,0.0028598884638299698,0.9549351997076796,0.9690783374876176,0.003212316756832976,0.002832877040171724,1.3088195061683654,0.03009657479006498,500.0,0,0
4,-1.511,-1.417,-1.559,0.03082623112930087,0.03832332784169424,0.02761318968113229,0.0024174277659468864,0.002361009159241048,0.0026268384490400858,0.9576354540974021,0.9715371779477974,0.00293950028128779,0.002624383599307168,1.3142458295822144,0.03040418063734169,500.0,0,0
5,-1.608,-1.442,-1.704,0.02465851068368219,0.03611025837524834,0.019750618815868128,0.0024215274897934724,0.0028231459156468205,0.0026408625960894945,0.962986859384511,0.9797942651020531,0.002781767577855698,0.002680293167462194,1.3550689816474915,0.030973392770533154,500.0,0,0
6,-1.694,-1.546,-1.777,0.020231249117124664,0.028425879730758892,0.016719264568424284,0.0021937606510065585,0.0024456369873816714,0.0023182110917981456,0.971216370297621,0.9828154479276688,0.0025033649448150427,0.0023716590782733066,1.3091354775428772,0.0307396822788158,500.0,0,0
7,-1.687,-1.549,-1.764,0.020539380998310177,0.028258784305478114,0.017231065295238202,0.0019875094684476398,0.0023771207076093166,0.0020093979260014097,0.9708852147909649,0.9822205863226375,0.0024753018726000955,0.0020626767152951003,1.3275292539596557,0.030985813064692985,500.0,0,0
8,-1.967,-1.836,-2.038,0.010796853617708007,0.014588652472760701,0.009171796965542567,0.002111072649584592,0.002468549036297745,0.002013567028253051,0.9851441587795504,0.990541088520707,0.0026048764286698976,0.002050008736625461,1.3247701740264892,0.031900650793538245,500.0,0,0
9,-1.672,-1.541,-1.743,0.021273636269881185,0.028785630256250458,0.018054210275722925,0.0018953307702609748,0.002357148751116458,0.001894740478851994,0.9702779848342348,0.9813419550558972,0.0024641206188438835,0.0019527325974816885,1.3400050330162048,0.03223603115250628,500.0,0,0
10,-1.657,-1.536,-1.72,0.02205010114539225,0.02908293487727739,0.019036029546012904,0.0018819806533230496,0.0023321906960574704,0.0018673243545611544,0.9697672292026411,0.9802938172331795,0.002488061477805254,0.00192261031446977,1.3378350472450256,0.03318163983555351,500.0,0,0
11,-1.779,-1.647,-1.851,0.016618999815501495,0.022542932988630606,0.014080171312731881,0.0019423334048732943,0.002420259322607114,0.0018535435935484103,0.9771171442577117,0.9853696861920764,0.0025254742831755427,0.001913025870821065,1.341382577419281,0.020175219283841278,500.0,0,0
12,-1.931,-1.793,-2.007,0.011711643727678673,0.016090686041231907,0.009834911307584427,0.0016817382962662879,0.002041235072453838,0.0016069050778933919,0.9836086565565982,0.9898462288611048,0.0021790922068637437,0.0016359045785840482,1.3647252964973449,0.033032334165857456,500.0,0,0
13,-1.735,-1.582,-1.821,0.018426107199873008,0.026156893614807854,0.015112913022043793,0.0015632698465606887,0.0022312982426778453,0.0015020647079218284,0.973415440433627,0.9844281934731194,0.002311664304075394,0.0015528734149656274,1.354288604259491,0.03368106339667748,500.0,0,0
14,-1.684,-1.54,-1.764,0.02070232147251518,0.02886649645468006,0.01720338933730166,0.0016844306098265636,0.002284933774136608,0.0016629334536556815,0.9705401650240887,0.9822599256702218,0.002362758811949789,0.0017152555663937214,1.3576869368553162,0.03375524112834522,500.0,0,0
15,-1.667,-1.53,-1.742,0.02152234511157956,0.02948041325434787,0.018111744478964572,0.0016535662276306994,0.0022197248484351314,0.001611661704049543,0.9694010791589449,0.9812882458376615,0.0023516313137380276,0.0016627691239162298,1.3588461470603943,0.03439352062162445,500.0,0,0
16,-1.941,-1.806,-2.014,0.011454673904945098,0.015613796618135455,0.009672192742149234,0.00170131533383714,0.002108625376000742,0.0016089626281457243,0.9842994667484533,0.9899954060525207,0.0022766153873619173,0.0016453705542667416,1.3689530158042909,0.03488399621341613,500.0,0,0
17,-1.684,-1.562,-1.749,0.02071385883680963,0.027422368464016054,0.017838783282292582,0.0015554662415158574,0.002121780700798325,0.0014812754038239714,0.9715418350891922,0.9814861844438376,0.002278852803363345,0.0015449760342559275,1.395316960811615,0.03670555369783583,500.0,0,0
18,-1.694,-1.558,-1.768,0.020243913118142477,0.02767325220108641,0.017059910654023652,0.0015184118148954806,0.002129126468155304,0.0014683875907300283,0.9715530790055107,0.9823679580898503,0.0022813196264920947,0.0015243968037765446,1.3764658951759339,0.034755023057552646,500.0,0,0
19,-1.918,-1.776,-1.997,0.012082279752072695,0.01675708685883855,0.010078790992030184,0.0015826932904773054,0.002155465299048589,0.0014256060016220762,0.9829432536078332,0.9895643273742677,0.0022976463445401637,0.0014551728037479111,1.3987137937545777,0.03662776322886931,500.0,0,0
