Nh,Overall dB,Test dB,Train dB,Overall MSE mean,Test MSE mean,Train MSE mean,Overall MSE sem,Test MSE sem,Train MSE sem,Avg. R Squared (test) mean,Avg. R Squared (training) mean,Avg. R Squared (test) sem,Avg. R Squared (training) sem,Avg. Train Time mean,Avg. Train Time sem,Avg. no of iterations,No. of useless models (test),No. of useless models (training)
3,-1.35,-1.308,-1.37,0.04465319334421206,0.04922155636227977,0.042672221770005715,0.0020517921433501835,0.003037264268632622,0.0016974649635764852,0.9488923853151836,0.9565687021704575,0.0036820167308691558,0.001633987857154031,1.1659558534622192,0.018496524587116498,500.0,0,0
4,-1.742,-1.673,-1.776,0.01811705346545701,0.021230395347537283,0.016767020259953185,0.0011375979223824748,0.0014010930692626034,0.001063406989390694,0.9782931015881071,0.9829425192570137,0.0015630638145565426,0.001035980295865779,1.1638264679908752,0.019362358883714296,500.0,0,0
5,-1.756,-1.671,-1.798,0.017556944585591566,0.021326807844247432,0.01592222511944875,0.0011623819403754235,0.0015376860757541758,0.0010359437198638388,0.9783485893802883,0.9838040578963653,0.0016891694471282367,0.0010145916408050787,1.1739387345314025,0.019418608258980438,500.0,0,0
6,-1.85,-1.733,-1.912,0.014132433258583415,0.018513684113977486,0.012232598816863867,0.0008260441432390534,0.00117175832223769,0.0007281600611322296,0.981116580624071,0.9875637628251758,0.001319745359372492,0.0007079173448986121,1.1809917736053466,0.020037750151471932,500.0,0,0
7,-1.862,-1.761,-1.913,0.013756190010435163,0.01732330221932507,0.01220938914109352,0.0007192640260870553,0.001008490369470984,0.0006457045085464069,0.9824176396054355,0.9875805986631211,0.0010884928693103077,0.0006407043656088628,1.234683837890625,0.023972301430877987,500.0,0,0
8,-1.837,-1.714,-1.903,0.014555272744436824,0.0193073463962913,0.012494639036995499,0.0007205388788646775,0.0010969208896350457,0.0006260703568117279,0.9804227688669923,0.9872838545172455,0.0011536310192819886,0.0006279018386028455,1.3318405270576477,0.020841620013583143,500.0,0,0
9,-1.895,-1.779,-1.957,0.012726998339703558,0.016620599969731868,0.011038622411638187,0.0006595097705273641,0.0009539617790283326,0.0005845377130382474,0.9831461598114517,0.9887604581812282,0.001014294841569621,0.0005889083310172429,1.3447435307502746,0.02383015500918085,500.0,0,0
10,-1.872,-1.752,-1.937,0.013419724701946247,0.017688387701465698,0.01156871154286259,0.0006721846454948034,0.0009835996742271753,0.0005919004681931721,0.9819808711132074,0.9882110550764319,0.0010706478014524008,0.0005994068472823753,1.2313826179504395,0.026424401760588568,500.0,0,0
11,-1.895,-1.78,-1.957,0.01273018340682883,0.01660198731845123,0.011051259586744784,0.0005857726123385271,0.0008791407417270107,0.0005096409628524245,0.9830883473313109,0.9887421598659627,0.0009464404928035596,0.0005156595807135503,1.2278967237472533,0.022593444893147994,500.0,0,0
12,-1.907,-1.791,-1.969,0.012385679934144175,0.01618058802666643,0.010740100318802664,0.0006575283784514853,0.000947531257367226,0.0005796077191262256,0.9836266980521465,0.9890535030072201,0.0009893211327344205,0.0005922261664296815,1.2742646312713624,0.022958211967373823,500.0,0,0
13,-1.894,-1.779,-1.954,0.0127788949651451,0.016635953241731255,0.01110636526998827,0.0006270482463627527,0.0009018817763286087,0.0005602580029567197,0.983081397858567,0.9886621134734281,0.000944755544737859,0.0005850342282634733,1.334885265827179,0.025695476984084885,500.0,0,0
14,-1.876,-1.769,-1.932,0.013302638980503823,0.01704087242021466,0.011681635099567265,0.000661761243566228,0.00093775888222565,0.0005909206910842461,0.9827277847214002,0.9880758149623072,0.0009718076347780737,0.0006164964060374576,1.3404648208618164,0.02572646624988049,500.0,0,0
15,-1.882,-1.766,-1.943,0.013130355772446846,0.017128360483192523,0.011396707712035008,0.0006645285624100937,0.0009180743828069609,0.0006015778033231031,0.9825652814236014,0.988361680962188,0.0009727613845114788,0.000627635974062982,1.352212862968445,0.030594598171408593,500.0,0,0
16,-1.91,-1.791,-1.974,0.012308427167044915,0.01619604049275794,0.010622647937310947,0.0006559750897013742,0.0008941590735586288,0.0005964128838092198,0.9835698235165168,0.98915757475203,0.000940781574175796,0.0006157875832967527,1.3515931487083435,0.02726216012487604,500.0,0,0
17,-1.904,-1.792,-1.963,0.012481277560225854,0.016143145641443896,0.0108933878612906,0.0006368567339540253,0.0009030590700613225,0.0005691830945879602,0.9836217137053795,0.988879931905569,0.0009332757415839525,0.0005914168311442236,1.3674541354179381,0.027626099151571142,500.0,0,0
18,-1.901,-1.782,-1.965,0.01255256560349411,0.01652579244729667,0.010829661927862909,0.0006810641166812459,0.0009366688197588871,0.0006158501758120568,0.9832268467105959,0.9889411679040248,0.0009718107101181888,0.0006406163334082228,1.3553456687927246,0.028091180786807713,500.0,0,0
19,-1.879,-1.768,-1.938,0.013198683295651305,0.01704330812447186,0.011531545095543274,0.0006035921778230886,0.0008423976037209657,0.0005455976282564139,0.9826581906421415,0.9882347147729191,0.000901407306819545,0.0005648352795751338,1.3017011284828186,0.02642870647239582,500.0,0,0
